;;;;
;;;;
;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune
Correction;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025
455;3,10294E-02;8,43795E-03;1,38809E-03;1,24734E-03
456;3,09578E-02;8,34454E-03;1,38325E-03;1,25280E-03
457;3,07810E-02;8,32679E-03;1,43021E-03;1,28460E-03
458;3,04975E-02;8,24238E-03;1,40849E-03;1,27432E-03
459;3,02753E-02;8,14400E-03;1,40782E-03;1,26577E-03
460;3,02095E-02;8,09091E-03;1,45117E-03;1,29074E-03
461;3,01090E-02;8,06166E-03;1,46983E-03;1,31409E-03
462;3,02854E-02;8,07177E-03;1,50816E-03;1,34539E-03
463;3,08174E-02;8,19324E-03;1,55280E-03;1,35271E-03
464;3,15939E-02;8,33915E-03;1,60661E-03;1,42301E-03
465;3,29136E-02;8,57024E-03;1,69642E-03;1,49014E-03
466;3,37917E-02;8,78294E-03;1,78182E-03;1,54805E-03
467;3,52956E-02;9,02620E-03;1,89393E-03;1,63043E-03
468;3,65806E-02;9,33927E-03;2,01988E-03;1,70851E-03
469;3,77089E-02;9,59293E-03;2,14707E-03;1,83050E-03
470;3,86071E-02;9,69238E-03;2,21285E-03;1,88733E-03
471;3,93116E-02;9,78073E-03;2,32991E-03;1,95530E-03
472;3,94265E-02;9,76236E-03;2,38563E-03;2,05700E-03
473;3,91695E-02;9,57886E-03;2,44471E-03;2,04026E-03
474;3,86696E-02;9,41128E-03;2,48127E-03;2,03704E-03
475;3,76894E-02;9,00541E-03;2,49904E-03;2,05078E-03
476;3,63513E-02;8,64341E-03;2,49773E-03;2,01499E-03
477;3,49900E-02;8,23219E-03;2,47187E-03;1,99772E-03
478;3,35825E-02;7,77353E-03;2,42400E-03;1,98543E-03
479;3,20806E-02;7,34580E-03;2,42704E-03;1,92136E-03
480;3,09314E-02;6,98257E-03;2,40546E-03;1,91911E-03
481;2,97868E-02;6,67541E-03;2,41717E-03;1,92849E-03
482;2,93252E-02;6,40162E-03;2,43598E-03;1,93063E-03
483;2,88832E-02;6,15308E-03;2,48942E-03;1,94678E-03
484;2,88089E-02;6,02437E-03;2,57829E-03;2,02213E-03
485;2,86948E-02;5,96367E-03;2,67526E-03;2,11172E-03
486;2,93011E-02;5,94056E-03;2,77433E-03;2,21485E-03
487;2,98909E-02;5,91059E-03;2,94667E-03;2,34585E-03
488;3,04439E-02;5,91573E-03;3,12273E-03;2,49955E-03
489;3,15283E-02;6,03740E-03;3,36611E-03;2,70810E-03
490;3,26261E-02;6,06439E-03;3,56951E-03;2,92731E-03
491;3,38494E-02;6,15877E-03;3,84526E-03;3,13546E-03
492;3,50495E-02;6,24245E-03;4,09797E-03;3,40432E-03
493;3,62689E-02;6,36014E-03;4,38193E-03;3,71183E-03
494;3,79462E-02;6,44729E-03;4,71858E-03;4,04423E-03
495;3,91618E-02;6,54869E-03;5,02926E-03;4,37178E-03
496;4,05220E-02;6,61163E-03;5,36881E-03;4,70290E-03
497;4,17818E-02;6,67416E-03;5,66337E-03;5,04625E-03
498;4,27307E-02;6,68593E-03;5,97226E-03;5,41854E-03
499;4,33253E-02;6,65984E-03;6,26123E-03;5,77899E-03
500;4,38998E-02;6,62353E-03;6,55242E-03;6,17508E-03
501;4,42381E-02;6,51966E-03;6,75371E-03;6,48514E-03
502;4,40026E-02;6,37358E-03;6,98029E-03;6,78053E-03
503;4,39310E-02;6,17806E-03;7,15397E-03;7,07190E-03
504;4,33249E-02;5,99934E-03;7,28926E-03;7,38755E-03
505;4,29606E-02;5,78197E-03;7,38167E-03;7,57207E-03
506;4,21038E-02;5,54100E-03;7,45273E-03;7,86699E-03
507;4,11499E-02;5,31912E-03;7,54284E-03;8,05956E-03
508;4,02368E-02;5,11119E-03;7,58948E-03;8,24262E-03
509;3,92696E-02;4,84184E-03;7,64916E-03;8,53014E-03
510;3,84470E-02;4,70422E-03;7,70829E-03;8,71770E-03
511;3,79057E-02;4,47900E-03;7,77068E-03;8,92673E-03
512;3,71065E-02;4,32356E-03;7,83983E-03;9,16397E-03
513;3,64904E-02;4,14147E-03;7,92178E-03;9,40298E-03
514;3,58654E-02;3,99513E-03;7,97265E-03;9,65474E-03
515;3,58167E-02;3,87786E-03;8,12655E-03;9,93341E-03
516;3,53091E-02;3,74533E-03;8,22729E-03;1,02045E-02
517;3,50547E-02;3,64529E-03;8,35001E-03;1,04619E-02
518;3,48044E-02;3,55114E-03;8,46008E-03;1,07468E-02
519;3,44678E-02;3,44330E-03;8,55474E-03;1,09894E-02
520;3,44883E-02;3,34525E-03;8,64013E-03;1,12932E-02
521;3,44165E-02;3,26101E-03;8,75272E-03;1,15106E-02
522;3,42687E-02;3,19947E-03;8,83235E-03;1,17675E-02
523;3,42936E-02;3,11165E-03;8,94532E-03;1,20751E-02
524;3,41265E-02;3,05436E-03;9,03802E-03;1,22285E-02
525;3,42050E-02;2,97591E-03;9,13202E-03;1,24580E-02
526;3,42221E-02;2,94399E-03;9,24347E-03;1,26993E-02
527;3,41529E-02;2,90501E-03;9,26977E-03;1,28467E-02
528;3,42696E-02;2,86431E-03;9,36036E-03;1,31222E-02
529;3,41965E-02;2,80154E-03;9,42189E-03;1,31718E-02
530;3,40392E-02;2,76490E-03;9,44887E-03;1,34211E-02
531;3,40844E-02;2,72859E-03;9,49826E-03;1,35555E-02
532;3,40574E-02;2,69472E-03;9,50458E-03;1,36571E-02
533;3,39951E-02;2,66628E-03;9,56261E-03;1,37582E-02
534;3,38130E-02;2,59218E-03;9,58278E-03;1,39256E-02
535;3,37963E-02;2,56335E-03;9,58236E-03;1,39272E-02
536;3,37400E-02;2,52447E-03;9,61293E-03;1,40228E-02
537;3,35448E-02;2,50261E-03;9,56819E-03;1,40601E-02
538;3,32645E-02;2,47792E-03;9,57915E-03;1,40853E-02
539;3,33529E-02;2,46534E-03;9,53871E-03;1,41258E-02
540;3,31180E-02;2,41783E-03;9,56482E-03;1,41775E-02
541;3,30822E-02;2,38161E-03;9,51264E-03;1,42290E-02
542;3,28649E-02;2,35717E-03;9,47925E-03;1,42424E-02
543;3,26557E-02;2,34172E-03;9,48082E-03;1,42039E-02
544;3,25717E-02;2,29356E-03;9,37455E-03;1,42970E-02
